knr,knavn,aar,pm2,Menn_ya_p,Kvinner_ya_p,Total_ya_p,Total_t,rel_inc_l,rel_inc_h,uni_k_mf,uni_k_m,uni_k_f,uni_l_mf,uni_l_m,uni_l_f,nytt_bareal,nytt_bareal_pp
0926,Lillesand,2015,22581,56.869498660543435,56.843957763003516,56.8568665377176,10340,-0.8000000000000007,4.299999999999997,23.8,19,28.8,7.5,8.8,6.2,6281,0.6074468085106383
0926,Lillesand,2016,24196,56.861272761404166,56.51428571428572,56.68904226151083,10577,-2.4000000000000004,3.799999999999997,24.1,19.3,28.9,7.8,8.7,6.7,5549,0.5246289117897325
0926,Lillesand,2017,21796,56.734693877551024,56.174698795180724,56.456737058493744,10702,-1.6999999999999993,3.799999999999997,24.5,19.5,29.5,8,8.8,7.2,10895,1.0180340123341431
0928,Birkenes,2006,9750,57.864164432529044,57.28245695672406,57.579211306131754,4387,-1.3000000000000007,-4.300000000000001,16.5,12.9,20.2,2.5,3.8,1.2,2570,0.5858217460679279
0928,Birkenes,2007,11389,57.10479573712256,57.665585919407135,57.37927907503967,4411,-2,-3.1000000000000014,16.5,12.8,20.3,2.6,3.9,1.2,5548,1.2577646792110633
0928,Birkenes,2008,11691,57.30968858131488,57.37106344135098,57.339551410171,4503,-1.8999999999999986,-2.1999999999999993,17.1,13.2,21.3,2.7,3.9,1.4,3800,0.8438818565400844
0928,Birkenes,2009,12078,57.45762711864407,57.2508896797153,57.356770833333336,4608,-1.6000000000000014,-3.1999999999999993,17.1,13.1,21.4,2.8,3.9,1.7,1926,0.41796875
0928,Birkenes,2010,13126,57.54283326368576,57.40418118466899,57.474941352100664,4689,-0.8000000000000007,-2.200000000000003,17.4,13.7,21.2,3.1,4.2,2,1465,0.3124333546598422
0928,Birkenes,2011,14849,57.066775911511684,56.659528907922905,56.867671691792296,4776,-1.6999999999999993,-0.7000000000000028,17.6,13.9,21.4,3.4,4.3,2.5,4240,0.8877721943048577
0928,Birkenes,2012,14660,56.69642857142857,56.42978003384095,56.56586578293289,4828,-1.6999999999999993,-0.7999999999999972,17.8,13.9,21.8,3.5,4.3,2.7,6230,1.2903893951946976
0928,Birkenes,2013,15336,56.8091844813935,54.56431535269709,55.7131280388979,4936,-0.40000000000000036,-0.8999999999999986,18,13.9,22.3,3.5,4.4,2.7,6539,1.3247568881685576
0928,Birkenes,2014,15479,57.21588674793551,54.48979591836734,55.87822952132986,4993,-0.5,-0.20000000000000284,18.2,14.3,22.2,4,4.8,3.3,1037,0.20769076707390347
0928,Birkenes,2015,14509,56.84210526315789,55.22267206477732,56.04766633565045,5035,0.1999999999999993,-0.7000000000000028,18.3,13.9,22.9,4.2,4.9,3.5,5007,0.9944389275074479
0928,Birkenes,2016,15593,56.79152478244419,56.26996805111821,56.5377890033029,5147,-0.40000000000000036,-0.20000000000000284,19.3,14.3,24.4,4.3,5,3.6,2783,0.5407033223236837
0928,Birkenes,2017,15885,56.64150943396227,56.09177215189873,56.373117033603705,5178,-0.6999999999999993,-0.20000000000000284,19.2,14.2,24.3,4.2,4.8,3.7,3750,0.7242178447276941
0937,Evje og Hornnes,2006,6767,59.066100667070955,56.8955223880597,57.97232250300842,3324,0.6999999999999993,-3.3000000000000007,15.4,11.3,19.5,3,4.8,1.2,393,0.11823104693140794
0937,Evje og Hornnes,2007,8336,59.07990314769975,56.764882742032476,57.9185520361991,3315,-1,-5.100000000000001,16,11.5,20.4,3.1,4.8,1.5,650,0.19607843137254902
0937,Evje og Hornnes,2008,9387,58.604091456077015,56.3963963963964,57.49924857228734,3327,0.10000000000000142,-6.199999999999999,16.1,11.4,20.8,3.2,4.7,1.7,1692,0.5085662759242561
0937,Evje og Hornnes,2009,9278,57.91642142436727,55.412521942656525,56.66079812206573,3408,1.3999999999999986,-6.199999999999999,16.4,12.1,20.7,3.2,4.6,1.8,1706,0.5005868544600939
0937,Evje og Hornnes,2010,10461,58.338243959929294,55.64705882352941,56.991463055637325,3397,-0.8000000000000007,-5.200000000000003,16.5,12.3,20.5,3.4,4.7,2.1,2766,0.8142478657639093
0937,Evje og Hornnes,2011,10649,56.82210708117444,55.40851553509781,56.11510791366906,3475,0.3000000000000007,-5.700000000000003,16.6,11.8,21.4,3.7,5.1,2.3,1929,0.5551079136690648
0937,Evje og Hornnes,2012,10315,56.464530892448515,55.26315789473685,55.86384439359268,3496,-0.6999999999999993,-5.799999999999997,16.1,11.3,20.8,3.7,5.3,2.2,749,0.21424485125858123
0937,Evje og Hornnes,2013,12821,56.246498599439775,55.84415584415584,56.04611923509562,3556,-0.40000000000000036,-5.899999999999999,16.6,11.4,21.7,4.1,5.7,2.5,1388,0.39032620922384703
0937,Evje og Hornnes,2014,10992,55.91995553085047,54.45714285714286,55.19864750633982,3549,0.5,-6.200000000000003,16.8,11.4,22.3,4.3,5.7,2.9,1170,0.32967032967032966
0937,Evje og Hornnes,2015,11923,55.500276395798785,54.778156996587036,55.14437902999719,3567,0.1999999999999993,-5.700000000000003,17.2,11.4,23.1,4.5,6.1,2.9,1308,0.3666947014297729
0937,Evje og Hornnes,2016,12430,54.8901098901099,55.05107832009081,54.969290898939136,3582,-1.4000000000000004,-4.200000000000003,17.6,11.4,23.8,4.6,6,3.1,1413,0.3944723618090452
0937,Evje og Hornnes,2017,11138,54.20711974110033,54.715909090909086,54.45489762036525,3614,-0.6999999999999993,-4.200000000000003,17.9,11.5,24.6,4.9,6.4,3.3,2485,0.6876037631433315
1001,Kristiansand,2006,16715,60.38412832418742,57.99348934970394,59.17157455438979,76917,2.6999999999999993,-1.3000000000000007,22.8,19.6,26,5.9,8.3,3.6,21842,0.283968433506247
1001,Kristiansand,2007,19459,60.355847747254174,57.97919461388544,59.14953751284686,77840,2,-0.10000000000000142,23.1,19.8,26.4,6.1,8.4,3.9,30007,0.38549588900308324
1001,Kristiansand,2008,20499,60.63914506640635,58.02160432086417,59.31271303488387,78919,2.1000000000000014,-0.1999999999999993,23.6,20.2,26.9,6.4,8.7,4.2,16486,0.20889773058452338
1001,Kristiansand,2009,20302,60.967685061582245,58.0681086967282,59.50517420015229,80109,2.3999999999999986,-0.1999999999999993,23.8,20.3,27.2,6.7,8.9,4.5,13408,0.16737195571034466
1001,Kristiansand,2010,21991,60.8683799658001,58.108636186010166,59.47844270865367,81295,1.1999999999999993,-1.2000000000000028,24.1,20.5,27.7,7,9.1,4.9,17002,0.20913955347807367
1001,Kristiansand,2011,22503,60.9323815577177,58.25057848052448,59.58200839866981,82394,1.3000000000000007,-0.7000000000000028,24.5,20.7,28.2,7.2,9.3,5.2,19350,0.23484719761147657
1001,Kristiansand,2012,22700,60.85768849566079,58.448753462603875,59.6458561080211,83243,1.3000000000000007,-1.7999999999999972,24.9,21,28.6,7.6,9.6,5.6,21800,0.261883882128227
1001,Kristiansand,2013,22199,61.056904778861906,58.446863268245465,59.74833088687911,84476,0.5999999999999996,-1.8999999999999986,25.3,21.3,29.2,8,9.9,6,22089,0.2614825512571618
1001,Kristiansand,2014,22463,61.02824648084273,58.486360998258846,59.754835258132424,85983,0.5,-1.2000000000000028,25.5,21.5,29.5,8.7,10.6,6.9,36903,0.42918949094588466
1001,Kristiansand,2015,23422,61.057504984987744,58.838297386739704,59.945566406696706,87446,0.1999999999999993,-1.7000000000000028,25.9,21.8,29.9,9.2,11,7.5,24138,0.2760332090661666
1001,Kristiansand,2016,23731,60.94472134118713,58.850745931794066,59.89575678089704,88447,0.5999999999999996,-2.200000000000003,26.3,22.1,30.4,9.4,11,7.9,26127,0.29539724354698293
1001,Kristiansand,2017,23835,60.7677482968806,58.87017292357316,59.81874803961106,89268,1.3000000000000007,-2.200000000000003,26.4,22.2,30.6,9.6,11,8.3,27379,0.3067056504010396
1002,Mandal,2006,12642,59.1019591019591,55.56811758055399,57.3246144004549,14069,1.6999999999999993,-1.3000000000000007,19.5,16.3,22.6,3.7,5.4,2.1,5464,0.3883715971284384
1002,Mandal,2007,15330,59.160521837776514,55.833799664241745,57.48591549295775,14200,0,-2.1000000000000014,19.8,16.5,22.9,4,5.6,2.4,5692,0.4008450704225352
1002,Mandal,2008,14945,59.236919624070694,55.60445605831384,57.40277777777778,14400,1.1000000000000014,-2.1999999999999993,19.9,16.5,23.2,4.1,5.6,2.5,7131,0.4952083333333333
1002,Mandal,2009,15709,59.19644098429028,56.10884353741496,57.635976070961966,14543,0.3999999999999986,-2.1999999999999993,20.7,17,24.1,4.2,5.8,2.6,6870,0.4723922161864815
1002,Mandal,2010,15800,58.773494306489226,56.51410827595518,57.63473053892215,14696,2.1999999999999993,-2.200000000000003,21,17,24.9,4.3,5.9,2.7,5405,0.3677871529667937
1002,Mandal,2011,17696,58.75218973184207,57.06327099084759,57.901069518716575,14960,1.3000000000000007,-1.7000000000000028,21.4,17.1,25.6,4.4,6,3,4814,0.32179144385026737
1002,Mandal,2012,17812,58.47547974413646,56.76913015042512,57.614363984421416,15149,1.3000000000000007,-1.7999999999999972,21.8,17,26.3,4.7,6.2,3.2,4633,0.3058287675754175
1002,Mandal,2013,18269,57.979288369622935,56.97598961713173,57.4719432959244,15237,2.5999999999999996,-2.8999999999999986,22.2,17.1,27.1,4.8,6.1,3.5,4764,0.3126599724355188
1002,Mandal,2014,18422,57.82214632864836,56.67011375387797,57.241514105153435,15349,2.5,-2.200000000000003,22.2,17.1,27.2,5,6.2,3.9,6675,0.43488175125415335
1002,Mandal,2015,17767,57.513428533997114,56.59917990773962,57.05124052600894,15437,2.1999999999999993,-2.700000000000003,22.6,17.3,27.7,5.2,6.4,4,3038,0.1967998963529183
1002,Mandal,2016,18711,57.67085981066009,56.10130468150422,56.88067486637903,15529,1.5999999999999996,-3.200000000000003,23,17.9,27.9,5.3,6.3,4.4,4619,0.29744349281988536
1002,Mandal,2017,19431,57.0563996909606,55.476129691090115,56.26282051282051,15600,2.3000000000000007,-3.200000000000003,23.2,17.8,28.5,5.7,6.7,4.8,5586,0.35807692307692307
1003,Farsund,2006,9505,58.952702702702695,55.095541401273884,57.02943044674995,9446,-0.3000000000000007,-2.3000000000000007,15.6,13.1,18.2,2.9,4.2,1.6,8530,0.9030277366080881
1003,Farsund,2007,10032,59.144134553970616,54.95841330774153,57.05305774557851,9386,0,-2.1000000000000014,15.8,13.1,18.6,3.1,4.4,1.9,4018,0.42808438099296825
1003,Farsund,2008,10748,58.27842720510096,54.98186473223811,56.633304940374785,9392,0.10000000000000142,-1.1999999999999993,15.8,12.9,18.7,3.2,4.2,2.1,3580,0.381175468483816
1003,Farsund,2009,12942,57.886904761904766,54.414567012492064,56.147236660655565,9427,1.3999999999999986,-0.1999999999999993,15.8,12.9,18.7,3.3,4.5,2.1,5232,0.5550015911742866
1003,Farsund,2010,13004,56.984431648539136,53.844524465155686,55.40913921360256,9410,0.1999999999999993,-1.2000000000000028,16,12.9,19.2,3.5,4.6,2.4,4354,0.4626992561105207
1003,Farsund,2011,11631,56.651083722906925,54.13038861754088,55.39033457249071,9415,0.3000000000000007,-0.7000000000000028,16.3,12.8,19.8,3.6,4.6,2.6,2495,0.26500265533722783
1003,Farsund,2012,12022,56.447843637136174,53.74523910283537,55.0938195695961,9433,0.3000000000000007,0.20000000000000284,16.3,12.9,19.8,3.6,4.6,2.7,1581,0.1676030955157426
1003,Farsund,2013,13950,56.301283399957924,53.64761092150171,54.983582247643255,9441,-0.40000000000000036,0.10000000000000142,16.7,12.9,20.5,3.6,4.5,2.7,2876,0.30462874695477177
1003,Farsund,2014,13731,56.30602459870752,53.613053613053616,54.97057587221522,9516,0.5,0.7999999999999972,16.8,13.2,20.5,4,4.6,3.4,6514,0.6845313156788566
1003,Farsund,2015,13920,56.24614118131303,53.26155794806839,54.77282200917048,9596,1.1999999999999993,0.29999999999999716,17.1,13,21.4,4.2,4.8,3.5,4697,0.48947478115881615
1003,Farsund,2016,14715,55.66760790641388,53.59174215293869,54.652241112828435,9705,0.5999999999999996,-1.2000000000000028,17.3,13.1,21.6,4.3,4.9,3.6,4550,0.4688304997424008
1003,Farsund,2017,14516,55.441767068273094,54.04050950093965,54.75483672842666,9769,1.3000000000000007,-2.200000000000003,17.5,12.8,22.4,4.6,5.1,3.9,9063,0.9277305763128263
1004,Flekkefjord,2006,10806,58.17242927705434,55.707139608913145,56.947582467239044,8852,1.6999999999999993,-0.3000000000000007,17.1,13.2,21,3.4,4.9,1.9,3381,0.38194758246723903
1004,Flekkefjord,2007,12490,58.20129435393885,55.332267641013935,56.783295711060944,8860,0,-0.10000000000000142,17.5,13.6,21.4,3.7,5.2,2.2,4689,0.5292325056433409
1004,Flekkefjord,2008,12971,57.96135909393737,55.661447696845926,56.82379349046016,8910,-0.8999999999999986,0.8000000000000007,17.4,13.7,21.2,3.8,5.1,2.5,2467,0.27687991021324354
1004,Flekkefjord,2009,13964,57.64731847274332,55.10801080108011,56.3899721448468,8975,1.3999999999999986,0.8000000000000007,17.7,13.9,21.6,3.8,5.1,2.6,7423,0.827075208913649
1004,Flekkefjord,2010,14566,57.28091368328575,54.85393258426966,56.08130623125624,9003,0.1999999999999993,0.7999999999999972,18.1,14.2,22.2,3.9,5.1,2.7,4052,0.45007219815617017
1004,Flekkefjord,2011,14635,57.3928258967629,55.07768520603468,56.25208032841451,9013,0.3000000000000007,1.2999999999999972,18.3,14,22.7,4,5,2.9,4743,0.5262398757350494
